,ID,family,individual,pixel.correction,standard.length.raw,body.depth.raw,standard.length,body.depth,melanophores,note,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19
21,F2-13-14,13,14,876.739,3786.171,918,4.318469921,1.047061896,29,,4.3319619636,1.3002729433,3.9213494552,1.0196877292,3.5107369468,0.9101910603,2.68951193,0.7322589733,2.2104640035,0.7596331405,1.4918921138,0.8075379332,0.4516737592,1.1360279399,0.1231837525,1.1907762744,0.0068435418,1.2660552342,0.0889660435,1.3481777359,0.3695512576,1.4029260704,1.1565585653,1.7040419099,2.2720558798,1.8545998296,2.7647908899,1.7998514951,3.4012402779,1.6698242008,4.0445332077,1.5603275319,3.9213494552,1.1976198162,3.4765192378,1.1634021071,2.7100425554,1.2592116924
22,F2-13-15,13,15,876.514,3921.104,1023.963,4.473521244,1.168222071,32,,4.4905158389,1.6017998572,4.0729526283,1.3348332143,3.6759253132,1.2253084377,2.8339535934,1.0610212729,2.3137109048,1.088402467,1.6017998572,1.2321537363,0.383336718,1.6702528425,0.1848230604,1.6907887381,0.0136905971,1.8140041117,0.1848230604,1.8687665,0.4586350018,1.8619212015,1.1979272436,2.0741254561,2.6080587418,2.2589485165,2.9503236685,2.1836502326,3.5253287455,1.9919818736,4.2098585989,1.8893023956,4.0934885239,1.5401921703,3.6690800147,1.5401921703,2.8613347876,1.6223357528
23,F2-13-2,13,2,888.081,3529.474,835.746,3.974270365,0.9410695646,18,,4.5266141264,1.6349859979,4.2361000855,1.4660824857,3.8442439372,1.3377158165,3.0672877812,1.2161052877,2.621382509,1.2363737092,1.9322561793,1.317447395,0.8647859824,1.6755228408,0.7026386107,1.6822789813,0.540491239,1.7633526672,0.7364193131,1.8174017911,0.9323473872,1.8376702125,1.6552544194,2.0200860057,2.7565053188,2.1957456583,3.1213369051,2.1281842535,3.7226334084,1.9795491627,4.2766369284,1.9119877579,4.2361000855,1.594449155,3.7969509538,1.567424593,3.0943123431,1.6417421384
24,F2-13-3,13,3,864.021,3178.007,836.155,3.678159443,0.9677484691,41,,4.1526768447,1.4374650616,3.7637974077,1.2638581701,3.3540851438,1.2013596892,2.6596575778,1.1319169326,2.2360567625,1.1944154135,1.736068915,1.3124680997,0.999975695,1.5832948505,0.6458176364,1.6596818827,0.5208206745,1.7291246393,0.673594739,1.8194002229,0.8819230088,1.8332887742,1.5485734722,1.9999513901,2.388830827,2.1457811789,2.798543091,2.083282698,3.2151996306,1.8749544282,3.9304600235,1.7638460176,3.7499088564,1.3957994077,3.3679736951,1.388855132,2.6804904047,1.4444093373
25,F2-13-4,13,4,894.181,3624.045,990.164,4.052921053,1.107341802,30,,4.502444136,1.9392047024,4.1602315415,1.7043529218,3.7911787435,1.5701519044,3.019522893,1.3554302764,2.4692987214,1.3420101747,1.8318438884,1.4158207343,0.8320463083,1.7982936341,0.5636442734,1.851974041,0.4495734085,1.9526248042,0.5971945277,2.0063052111,0.9326970714,2.0331454146,1.4359508869,2.2747072461,2.6638901967,2.489428874,3.0463630965,2.435748467,3.76433854,2.2545770935,4.2340421011,2.1941866356,4.1535214906,1.8318438884,3.7576284891,1.7848735323,2.965842486,1.8050036849
26,F2-13-5,13,5,883.305,3390.51,866.081,3.838436327,0.9805005066,36,,4.6869427887,1.8204357498,4.2725898755,1.5555215922,3.8989929866,1.4468388609,3.1789698915,1.3245707881,2.886885051,1.3789121538,2.1668619559,1.4943875558,1.1955100447,1.9359111519,1.025693277,1.9630818347,0.86266918,2.071764566,1.0392786184,2.1328986024,1.3245707881,2.1328986024,2.0513865539,2.234788663,2.886885051,2.3366787237,3.2672746107,2.3163007115,3.6204934875,2.1261059317,4.3405165826,2.1125205903,4.2725898755,1.7660943842,3.8582369623,1.745716372,3.1110431844,1.7796797256
27,F2-13-6,13,6,876.185,3180.006,830.713,3.629377358,0.9481022843,48,,4.0196990362,1.3490301706,3.670457723,1.2394642684,3.3006728031,1.143594104,2.4926242746,1.0614196774,2.1365350925,1.1504419729,1.6571842704,1.2326163995,0.903918693,1.5681619749,0.5820688553,1.7256629593,0.4245678709,1.8420767304,0.5820688553,1.862620337,0.7121783642,1.8694682059,1.4380524661,1.9995777148,2.3419711591,2.047512797,2.6227337834,2.0201213214,3.0746931299,1.8352288615,3.8279587074,1.6640321393,3.6567619852,1.3764216461,3.2732813276,1.3764216461,2.5405593568,1.4928354172
28,F2-13-7,13,7,894.322,3478.852,863.354,3.889932262,0.965372651,32,,4.4279353521,1.4424334859,4.0052687958,1.2545816831,3.5893112324,1.1807827606,2.9922108592,1.106983838,2.5158723592,1.1405288028,1.9321899718,1.2545816831,1.0398939085,1.6235762958,0.7312802324,1.7309201831,0.5769733944,1.8181370916,0.7446982183,1.905354,1.0264759225,1.8986450071,1.6571212606,2.0328248662,2.7238511409,2.1737137183,3.012337838,2.0462428521,3.4417133873,1.8919360141,4.1662846268,1.7778831338,3.9985598028,1.3820525493,3.6228561972,1.3552165775,2.9318299226,1.4223065071
29,F2-13-8,13,8,876.514,3156.279,804.806,3.600945336,0.9181895554,25,,4.3330739726,1.6907887381,3.9908090458,1.5059656777,3.5390193425,1.4101314982,2.840798892,1.266380229,2.4985339652,1.3211426172,1.9919818736,1.3759050055,1.0541759744,1.6360263498,0.8625076154,1.6702528425,0.7598281374,1.7455511264,0.8488170183,1.8276947088,1.0815571685,1.8345400073,1.7455511264,1.9851365751,2.649130533,2.2726391136,2.9024065788,2.2110314268,3.2652074011,2.1151972473,4.0455714341,2.0262083663,3.9702731502,1.7113246337,3.5595552381,1.7318605293,2.9229424744,1.8140041117
30,F2-13-9,13,9,888.02,3295.683,902.875,3.711271143,1.016728227,31,,4.3917929776,1.790500214,4.0674759577,1.5675322628,3.709375915,1.3918605437,2.9796626202,1.1553793833,2.5675097408,1.1621359879,2.0742776064,1.1756491971,1.0675435238,1.3986171483,0.8783585955,1.3986171483,0.6891736673,1.4459133803,0.8851152001,1.5675322628,1.0405171055,1.6215850994,1.7499605865,1.9323889102,2.6148059728,2.1756266751,2.918853179,2.1621134659,3.3715456859,2.0202247697,4.047206144,2.0540077926,4.0742325623,1.6959077498,3.6350532646,1.5810454719,2.9323663881,1.6080718903
31,F2-14-1,14,1,870.186,3882.042,894.181,4.461163475,1.027574565,32,,4.7644986244,1.7306644786,4.3232136578,1.4548613745,3.9508794671,1.3307499776,3.0338341458,1.1859533479,2.5373885583,1.2135336583,1.8892512635,1.3031696672,0.7653536141,1.5996580042,0.5102357427,1.6341333922,0.3171735698,1.7375595562,0.5240258979,1.7858250995,0.7584585365,1.8478807979,1.3790155208,2.0340478932,2.682185188,2.2546903765,3.0752046114,2.2202149885,3.6474960526,2.1029986693,4.4749053651,2.0685232812,4.3163185802,1.6341333922,3.8819286911,1.6272383146,3.1027849218,1.723769401
32,F2-14-10,14,10,780.369,4117.928,816,5.276898493,1.045659169,12,,5.3743805815,1.9067902492,4.9130603599,1.5915547645,4.4824948198,1.3993380055,3.3676376176,1.345517313,2.7371666481,1.3608946537,1.9529222714,1.4685360387,0.6458483102,1.6915074792,0.3152354848,1.7145734902,0.1153300554,1.7607055124,0.2921694737,1.8760355678,0.5920276177,1.9682996121,1.4992907202,2.2604690858,3.0293361218,2.4219311633,3.3676376176,2.3988651523,4.1441933239,2.2681577561,5.0207017449,2.1758937118,4.8899943488,1.6607527977,4.444051468,1.5838660941,3.4906563433,1.6684414681
33,F2-14-11,14,11,870,3672.005,810.555,4.220695402,0.9316724138,16,,4.5655172414,1.5655172414,4.2482758621,1.3862068966,3.8275862069,1.275862069,2.9793103448,1.2,2.5172413793,1.2275862069,1.8620689655,1.2965517241,0.7655172414,1.5103448276,0.5034482759,1.5172413793,0.3379310345,1.5448275862,0.524137931,1.6620689655,0.6965517241,1.6965517241,1.5172413793,2.0137931034,2.6482758621,2.1655172414,3.0689655172,2.1172413793,3.724137931,1.9793103448,4.3103448276,1.8620689655,4.2482758621,1.475862069,3.8,1.4620689655,3.0206896552,1.6344827586
34,F2-14-12,14,12,870.083,3504.082,846.085,4.027296246,0.9724187233,26,,4.613352979,1.6757022031,4.3237254377,1.4964089633,3.9168677011,1.3515951926,3.1100481218,1.2688444666,2.6066478715,1.2757403604,2.0067051074,1.3309075111,0.903362093,1.5860555832,0.7378606409,1.592951477,0.5792550826,1.6619104154,0.730964747,1.7584529292,0.9516333499,1.7722447169,1.5860555832,2.0756640458,2.7928370052,2.282540861,3.1307358034,2.2273737103,3.7306785674,2.0825599397,4.4064761638,1.9515379567,4.3306213315,1.6067432647,3.9099718073,1.5377843263,3.1514234849,1.7032857785
35,F2-14-13,14,13,864.521,3081.653,625.038,3.564578535,0.7229876429,15,,4.0947530482,1.3186492867,3.8310231909,1.1659635798,3.4701297019,1.0410389106,2.6858803893,1.0132778729,2.3458076785,1.04797917,1.7558856292,1.1312622828,0.7703687938,1.3949921402,0.652384384,1.4574544748,0.5413402335,1.5268570688,0.6732051622,1.5615583658,0.9369350195,1.5337973282,1.4574544748,1.7073038133,2.5470752012,1.7350648509,2.8246855773,1.7142440727,3.317443995,1.6101401817,3.9073660443,1.5615583658,3.8171426721,1.2353661739,3.4423686643,1.1937246174,2.8663271338,1.3186492867
36,F2-14-2,14,2,864.083,3445.024,792.091,3.986913294,0.9166839297,26,,4.2148728768,1.4720808071,3.8537964524,1.2776550401,3.4371698089,1.1665546018,2.7150169602,1.1248919375,2.2497838749,1.1596108244,1.6387314645,1.2359923757,0.5971648557,1.3887554784,0.3888515339,1.3609803688,0.2499759861,1.4026430331,0.4096828661,1.4998559166,0.833253287,1.6456752418,1.3887554784,1.9025950053,2.4094907549,2.020639221,2.7566796245,1.9998078888,3.2982942611,1.8470447862,3.9024028942,1.8053821219,3.8399088976,1.3748679236,3.3885633672,1.312373927,2.6664105184,1.4512494749
37,F2-14-3,14,3,870.186,3392.808,792.818,3.898945743,0.9110902727,20,,4.5990167619,1.427281064,4.2611579593,1.3100647448,3.8612434583,1.2342188911,3.1096799994,1.2617992016,2.7028704208,1.3652253656,2.1029986693,1.6755038578,1.1307927271,1.7030841682,0.9377305542,1.7789300219,0.7377733036,1.8409857203,0.9308354766,1.8616709531,1.2273238135,2.020257738,1.951306962,2.1167888245,2.8821424385,2.020257738,3.6337058974,1.9306217291,4.3094235026,1.5858678489,4.2473678041,1.5582875385,3.8474533031,1.689294013,3.082099689,4.5990167619,1.620343237,4.2611579593
38,F2-14-4,14,4,864.333,3279.432,828.196,3.79417655,0.9581908824,26,,4.2483626102,1.6937916289,3.8804488548,1.4022373321,3.5194768683,1.2911690286,2.7489405125,1.1662171871,2.2907837604,1.2356348768,1.7632093186,1.3675284873,0.715002204,1.7354422427,0.5831085936,1.7632093186,0.478982059,1.8534523153,0.6108756694,1.8951029291,0.7705363558,1.9298117739,1.5618980185,2.0478218464,2.5059785985,2.1172395362,2.7975328953,2.1102977672,3.3112237992,2.0061712326,3.9706918514,1.9506370808,3.8873906238,1.5341309426,3.4986515614,1.4577714839,2.6934063607,1.5549562495
