population,individual,sex,species,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,notes
AL-S-2014,1,,C,10,1980.184,474.009,465.01,184.835,224.179,0,312.519,387.105,5.12,1.22,1.2,0.4774802702,0.579,0,0.8073235944,"e.g. no head, very bent, not a threespine, etc."
AL-S-2014,2,,C,11,1827.121,468.087,453.486,199.449,230.825,56.604,306.94,390.104,4.68,1.2,1.16,0.5112713533,0.592,0.1450997683,0.7868158235,
AL-S-2014,3,,C,12,2020.874,483.335,471.239,193.215,214.663,76.837,252.642,390.012,5.18,1.24,1.21,0.4954078336,0.55,0.1970118868,0.6477800683,
AL-S-2014,5,,C,13,1925.703,471.086,471.153,NA,NA,NA,NA,387.012,4.98,1.22,1.22,NA,NA,NA,NA,
AL-S-2014,6,,C,14,1872.695,450,444.041,218.403,263.454,85.276,342.473,390.012,4.8,1.15,1.14,0.5599904618,0.676,0.2186496826,0.8781088787,
AL-S-2014,7,,C,15,1830.157,459.01,462,231.836,220.617,86.533,300.24,393.046,4.66,1.17,1.18,0.5898444457,0.561,0.2201599813,0.7638800548,
AL-S-2014,8,,C,16,1943.523,462.01,447.01,230.825,247.095,75.18,330.872,390.046,4.98,1.18,1.15,0.5917891736,0.634,0.1927464966,0.8482896889,
AL-S-2014,9,,C,17,1927.336,441.01,426.011,220.78,246.658,60,300.24,387.047,4.98,1.14,1.1,0.5704216801,0.637,0.155019933,0.7757197446,
AL-S-2014,10,,C,18,1975.103,462.088,456.039,228.473,233.384,80.722,342.053,390.046,5.06,1.18,1.17,0.5857591156,0.598,0.2069550771,0.8769555386,
AL-S-2014,11,,C,19,1920.021,459,441.041,201.604,209.313,60,264.068,390.046,4.92,1.18,1.13,0.5168723689,0.537,0.15382801,0.6770175825,
