population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
CL,4,F,B,1,1.5,1.6,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.45,,,,,3.746,,5.511225621,1.2740616922,NA
CL,5,,B,,,,,,,,,,,,,,,,,,3.929504902,0.9338529412,
CL,6,,B,,,,,,,,,,,,,,,,,,3.683057991,0.8444536074,
CL,7,,B,,,,,,,,,,,,,,,,,,4.2539730392,1.051495098,
CL,8,,B,,,,,,,,,,,,,,,,,,5.3774338235,1.1912671569,
CL,9,F,B,1,1.1,1.2,1.1,1.1,1.05,1.05,1,1.2,1.2,1.1,,,,,1.81,,5.4907397577,1.2222112486,1
CL,10,,B,,,,,,,,,,,,,,,,,,5.4689613968,1.355489774,
CL,11,F,B,1,1,1,0.9,1,0.9,0.9,0.8,1,1,1,,,,,1.25,,5.885,1.2576960784,1
CL,12,F,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,eggs disintigrated,5.3869181147,1.2368482637,1
CL,13,,B,,,,,,,,,,,,,,,,,,3.5492111706,0.7960334358,
CL,14,,B,,,,,,,,,,,,,,,,,,3.8599398124,0.8583984814,
CL,16,,B,,,,,,,,,,,,,,,,,,3.8661231752,0.838037046,
CL,17,F,B,1,1.5,1.5,1.5,1.4,1.6,1.4,1.5,1.55,1.5,1.4,,,,,3.73,,4.8866524823,1.1773900709,1
CL,18,,B,,,,,,,,,,,,,,,,,,3.7501983373,0.8689706649,
CL,19,M,B,1,,,,,,,,,,,4,3.3,1,0.9,0.384,,3.9903532265,0.867512286,2
CL,20,,B,,,,,,,,,,,,,,,,,,3.6384704492,0.8510921986,
CL,21,M,B,1,,,,,,,,,,,2.7,NA,0.7,NA,0.278,torn,3.8443900709,0.8937304965,2
CL,22,,B,,,,,,,,,,,,,,,,,,4.0870120068,0.9435086224,
CL,23,M,B,1,,,,,,,,,,,3.9,3.7,0.9,0.9,0.484,,4.7293594692,1.0301301633,1
CL,24,F,B,1,1,1,1,1,1,1.2,1.2,1.1,1.05,1.1,,,,,1.865,,5.3959134404,1.271395273,1
CL,25,M,B,1,,,,,,,,,,,3.7,2.9,0.75,0.5,0.255,,3.4892312747,0.831068189,2
CL,26,,B,,,,,,,,,,,,,,,,,,4.1237047619,0.8951690476,
CL,27,F,B,1,1.6,1.7,1.55,1.5,1.6,1.5,1.6,1.5,1.5,1.5,,,,,3.96,,5.192051399,1.2339974896,1
CL,28,M,B,1,,,,,,,,,,,4.2,NA,0.7,NA,0.427,torn,4.6740905751,1.042606881,1
CL,29,M,B,1,,,,,,,,,,,3.5,4.7,1,1.3,0.44,,3.8198071003,0.9298923123,2
CL,30,,B,,,,,,,,,,,,,,,,,,4.0579527187,0.9505933806,
CL,31,F,B,1,1.7,1.6,0.15,1.5,1.6,1.6,1.5,1.6,1.7,1.6,,,,,3.725,,4.0006571933,0.8515144996,2
CL,32,,B,,,,,,,,,,,,,,,,,,4.0504336767,0.9007141658,
CL,33,F,B,1,1.5,1.5,1.5,1.4,1.3,1.3,1.4,1.4,1.45,1.45,,,,,2.73,,3.8544174974,0.8317041401,2
CL,34,,B,,,,,,,,,,,,,,,,,,3.8129339098,0.9010644308,
CL,35,,B,,,,,,,,,,,,,,,,,,3.6030118203,0.773179669,
CL,36,,B,,,,,,,,,,,,,,,,,,4.3262647754,0.8936453901,
CL,37,,B,,,,,,,,,,,,,,,,,,3.764737114,0.921847285,
CL,38,F,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,egg disintigrated,4.9431714286,1.1929428571,1
CL,39,M,B,1,,,,,,,,,,,2.4,3.9,0.6,0.9,0.559,,3.8949696344,0.8586017858,2
CL,40,F,B,1,1.3,1.3,1.4,1.2,1.3,1.4,1.5,1.3,1.3,1.4,,,,,2.65,,3.5257593774,0.8387796062,2
CL,41,F,B,1,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.5,1.45,1.4,,,,,2.84,,4.1264499744,0.9580651673,2
CL,42,M,B,1,,,,,,,,,,,3,2.7,0.5,0.8,0.285,,3.606633878,0.7979510967,2
CL,43,,B,,,,,,,,,,,,,,,,,,5.3185316811,1.2260481537,1
CL,44,,B,,,,,,,,,,,,,,,,,,4.0077910798,0.9298169014,
CL,45,M,B,1,,,,,,,,,,,3.7,4.3,0.9,1.1,0.405,,3.5383028169,0.7476737089,2
CL,46,,B,,,,,,,,,,,,,,,,,,3.7353239437,0.8663122066,
CL,47,F,B,1,1.3,1.45,1.45,1.3,1.45,1.3,1.5,1.3,1.4,1.4,,,,,3.114,,3.9020592845,0.8724335774,2
CL,48,,B,,,,,,,,,,,,,,,,,,4.0804799054,0.8796903073,
CL,49,,B,,,,,,,,,,,,,,,,,,3.5087615109,0.7957846159,
CL,50,F,B,1,1,1,1,1.2,1.1,1.2,1.1,1.1,1.1,1,,,,,2.079,,5.1832049422,1.2041277621,1
CL,51,,B,,,,,,,,,,,,,,,,,,3.4886704803,0.7957846159,
CL,52,,B,,,,,,,,,,,,,,,,,,3.9998956772,0.885504477,
CL,53,F,B,1,0.9,0.93,1,0.95,1,0.95,0.9,1,0.9,0.9,,,,,1.642,,,,1
CL,54,F,B,1,1.5,1.4,1.4,1.4,1.3,1.2,1.2,1.4,1.3,1.3,,,,,2.77,,4.2725149848,1.0354434927,2
CL,55,,B,,,,,,,,,,,,,,,,,,3.8658418654,0.9295116444,
CL,56,F,B,1,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.3,1.3,1.4,,,,,2.912,,3.3640378146,0.7589778989,2
CL,57,,B,,,,,,,,,,,,,,,,,,3.8453028169,0.937915493,
CL,58,F,B,1,1.2,1.25,0.13,1.3,1.3,1,1.4,1.1,1.4,1.4,,,,,2.97,,5.1286845969,1.2081647995,1
CL,59,,B,,,,,,,,,,,,,,,,,,3.8202370361,0.8390698832,
CL,60,,B,,,,,,,,,,,,,,,,,,4.2536976745,0.9018241313,
CL,61,,B,,,,,,,,,,,,,,,,,,3.6036808511,0.837,
CL,62,,B,,,,,,,,,,,,,,,,,,3.7188497653,0.8662253521,
CL,63,F,B,1,1.5,1.45,1.45,1.5,1.6,1.5,1.3,1.4,1.4,1.45,,,,,2.741,,3.4931725768,0.7448156028,2
CL,64,,B,,,,,,,,,,,,,,,,,,5.818455392,1.401372265,
CL,65,M,B,1,,,,,,,,,,,4,3.5,1,0.8,0.375,,3.6975172003,0.8591609137,NA
CPN,1,,C,,,,,,,,,,,,,,,,,,5.8308317552,1.3630074245,
CPN,2,,C,,,,,,,,,,,,,,,,,,4.9258143606,1.1214510223,
CPN,3,,C,,,,,,,,,,,,,,,,,,5.8610187283,1.2931636199,
CPN,4,,C,,,,,,,,,,,,,,,,,,5.9428348976,1.4181850745,
CPN,5,,C,,,,,,,,,,,,,,,,,,5.395249288,1.2765212849,
CPN,6,F,C,1,,,,,,,,,,,,,,,,,5.541237037,1.2222444444,1
CPN,7,,C,,,,,,,,,,,,,,,,,,5.0142778008,1.1657917897,
CPN,8,M,C,1,,,,,,,,,,,,,,,,,4.7069836418,1.149825278,1
CPN,9,M,C,1,,,,,,,,,,,,,,,,,5.0662530267,1.2142753404,1
CPN,10,F,C,1,,,,,,,,,,,,,,,,,5.1685971223,1.2446258993,1
CPN,11,,C,,,,,,,,,,,,,,,,,,5.1433817625,1.1434321013,
CPN,12,M,C,1,,,,,,,,,,,,,,,,,5.0576723396,1.309495433,1
CPN,13,M,C,1,,,,,,,,,,,,,,,,,5.0642722254,1.196443837,1
CPN,14,,C,,,,,,,,,,,,,,,,,,5.2744987542,1.1798465748,
CPN,15,F,C,1,,,,,,,,,,,,,,,,,5.3945788582,1.2731423294,1
CPN,16,,C,,,,,,,,,,,,,,,,,,5.1638808408,1.2095737817,
CPN,17,M,C,1,,,,,,,,,,,,,,,,,4.7287666667,1.1785928571,1
CPN,18,,C,,,,,,,,,,,,,,,,,,5.3517592247,1.2291932016,
CPN,19,F,C,1,,,,,,,,,,,,,,,,,5.657049047,1.354545519,1
CPN,20,M,C,1,,,,,,,,,,,,,,,,,5.0991535268,1.2014468122,1
CPN,21,,C,,,,,,,,,,,,,,,,,,5.1782817473,1.1072366401,
CPN,22,,C,,,,,,,,,,,,,,,,,,5.4882614023,1.2448092883,
CPN,23,M,C,1,,,,,,,,,,,,,,,,,5.0296575069,1.1579567527,1
CPN,24,,C,,,,,,,,,,,,,,,,,,4.8648605201,1.1205886525,
CPN,25,F,C,1,,,,,,,,,,,,,,,,,4.9774789572,1.1515320308,1
CPN,26,,C,,,,,,,,,,,,,,,,,,5.1667746461,1.1048511515,
CPN,26,,C,,,,,,,,,,,,,,,,,,5.1831530139,1.1482751057,
