population,individual,DSC code,Folder,
CPS,4,5537,ROOT,
CPS,5,5538,ROOT,
CPS,6,5539,ROOT,
CPS,7,5541,ROOT,
CPS,8,5542,ROOT,
CPS,9,5543,ROOT,
CPS,10,5544,ROOT,
CPS,11,5546,ROOT,
CPS,12,5547,ROOT,
CPS,13,5548,ROOT,
CPS,14,5550,ROOT,
SH,1,5551,ROOT,
SH,2,5552,ROOT,
SH,3,5553,ROOT,
SH,4,5554,ROOT,
SH,5,5556,ROOT,
SH,6,5557,ROOT,
SH,7,5558,ROOT,
SH,8,5559,ROOT,
SH,9,5560,ROOT,
SH,10,5561,ROOT,
SH,11,5562,ROOT,
SH,12,5563,ROOT,
SH,13,5564,ROOT,
SH,14,5565,ROOT,
SH,15,N,ROOT,
SH,16,5566,ROOT,
SH,17,5567,ROOT,
SH,18,5568,ROOT,
SH,19,5569,ROOT,
SH,20,5570,ROOT,
SK,1,5571,ROOT,
SK,17,5572,ROOT,
SK,18,5573,ROOT,
SK,19,5574,ROOT,
SK,20,5575,ROOT,
SK,21,5576,ROOT,
SK,22,5579,ROOT,
SK,23,5580,ROOT,
SK,24,5581,ROOT,
SK,25,5582,ROOT,
SK,26,5583,ROOT,
SK,27,5584,ROOT,
SK,28,5586,ROOT,
SK,29,5587,ROOT,
SK,30,5588,ROOT,
SK,31,5589,ROOT,
SK,32,5591,ROOT,
SK,33,5592,ROOT,
SK,34,5593,ROOT,
SK,35,5594,ROOT,
SK,36,5595,ROOT,
SK,37,5596,ROOT,
SK,38,5597,ROOT,
SK,39,5598,ROOT,
SK,40,5599,ROOT,
PQ2014,1,5610,ROOT,
PQ2014,2,5600,ROOT,
PQ2014,3,5601,ROOT,
PQ2014,4,5602,ROOT,
PQ2014,5,5604,ROOT,
PQ2014,7,5605,ROOT,
PQ2014,10,5606,ROOT,
PQ2014,12,5608,ROOT,
PQ2014,16,5613,ROOT,
PQ2014,17,5615,ROOT,
PQ2014,18,5616,ROOT,
PQ2014,19,5617,ROOT,
PQ2014,20,5618,ROOT,
PQ2014,21,5619,ROOT,
PQ2014,22,5620,ROOT,
PQ2014,23,5621,ROOT,
PQ2014,25,5622,ROOT,
PQ2014,26,5623,ROOT,
SK,41,5636,ROOT,
SK,42,5637,ROOT,
SK,43,5640,ROOT,
SK,44,5642,ROOT,
SK,45,5643,ROOT,
SK,46,5644,ROOT,
SK,47,5645,ROOT,
SK,48,5647,ROOT,
SK,49,5648,ROOT,
AL-S-2014,1,5649,ROOT,
AL-S-2014,2,5650,ROOT,
AL-S-2014,3,5651,ROOT,
AL-S-2014,4,5652,ROOT,
AL-S-2014,5,5653,ROOT,
AL-S-2014,6,5654,ROOT,
AL-S-2014,7,5655,ROOT,
AL-S-2014,8,5656,ROOT,
AL-S-2014,9,5657,ROOT,
AL-S-2014,10,5658,ROOT,
AL-S-2014,11,5660,ROOT,
AL-S-2014,12,5661,ROOT,
AL-S-2014,13,5662,ROOT,
AL-S-2014,14,5664,ROOT,
AL-S-2014,15,5665,ROOT,
AL-S-2014,16,5666,ROOT,
SK,2,5667,ROOT,
SK,3,5669,ROOT,
SK,4,5670,ROOT,
SK,5,5671,ROOT,
SK,6,5672,ROOT,
SK,7,5673,ROOT,
SK,8,5676,ROOT,
SK,9,5677,ROOT,
SK,10,5678,ROOT,
SK,11,5683,ROOT,
SK,12,5684,ROOT,
SK,13,5686,ROOT,
SK,14,5687,ROOT,
SK,15,5689,ROOT,
SK,16,5690,ROOT,
PP2014,37,5692,ROOT,
PP2014,38,5693,ROOT,
PP2014,39,5694,ROOT,
PP2014,40,5697,ROOT,
PP2014,41,5698,ROOT,
PP2014,42,5699,ROOT,
PP2014,43,5701,ROOT,
PP2014,44,5702,ROOT,
PP2014,45,5703,ROOT,
PP2014,46,5704,ROOT,
SF2014,88,3,1/16/2015,
SF2014,87,4,1/16/2015,
SF2014,86,5,1/16/2015,
SF2014,85,6,1/16/2015,
SF2014,84,7,1/16/2015,
SF2014,89,8,1/16/2015,
SF2014,90,9,1/16/2015,
SF2014,91,10,1/16/2015,
SF2014,92,11,1/16/2015,
SF2014,93,12,1/16/2015,
SF2014,94,13,1/16/2015,
SF2014,95,14,1/16/2015,
SF2014,96,15,1/16/2015,
SF2014,97,16,1/16/2015,
SF2014,98,17,1/16/2015,
SF2014,99,18,1/16/2015,
SF2014,100,19,1/16/2015,
SF2014,101,20,1/16/2015,
SF2014,102,21,1/16/2015,
SF2014,103,22,1/16/2015,
SF2014,104,23,1/16/2015,
SF2014,9,1,1/19/2015,
SF2014,10,2,1/19/2015,
SF2014,11,3,1/19/2015,
SF2014,12,4,1/19/2015,
SF2014,13,5,1/19/2015,
SF2014,14,6,1/19/2015,
SF2014,15,7,1/19/2015,
SF2014,16,8,1/19/2015,
SF2014,17,9,1/19/2015,
SF2014,18,10,1/19/2015,
SF2014,19,11,1/19/2015,
SF2014,20,12,1/19/2015,
SF2014,21,13,1/19/2015,
SF2014,22,14,1/19/2015,
SF2014,23,15,1/19/2015,
SF2014,24,16,1/19/2015,
SF2014,25,17,1/19/2015,
SF2014,26,18,1/19/2015,
SF2014,27,19,1/19/2015,
SF2014,28,20,1/19/2015,
SF2014,29,21,1/19/2015,
SF2014,30,22,1/19/2015,
SF2014,31,23,1/19/2015,
SF2014,32,24,1/19/2015,
SF2014,33,25,1/19/2015,
SF2014,59,1,1/20/2015,
SF2014,60,2,1/20/2015,
SF2014,61,3,1/20/2015,
SF2014,62,4,1/20/2015,
SF2014,63,5,1/20/2015,
SF2014,64,6,1/20/2015,
SF2014,65,7,1/20/2015,
SF2014,66,8,1/20/2015,
SF2014,67,9,1/20/2015,
SF2014,68,10,1/20/2015,
SF2014,69,11,1/20/2015,
SF2014,70,12,1/20/2015,
SF2014,71,13,1/20/2015,
SF2014,72,14,1/20/2015,
SF2014,73,15,1/20/2015,
SF2014,74,16,1/20/2015,
SF2014,76,17,1/20/2015,
SF2014,77,18,1/20/2015,
SF2014,79,19,1/20/2015,
SF2014,80,20,1/20/2015,
SF2014,81,21,1/20/2015,
SF2014,82,22,1/20/2015,
SF2014,83,23,1/20/2015,
PP2014,12,24,1/20/2015,
PP2014,13,25,1/20/2015,
PP2014,14,26,1/20/2015,
PP2014,15,27,1/20/2015,
PP2014,16,28,1/20/2015,
PP2014,17,29,1/20/2015,
PP2014,18,30,1/20/2015,
PP2014,19,31,1/20/2015,
PP2014,20,32,1/20/2015,
PP2014,21,33,1/20/2015,
PP2014,22,34,1/20/2015,
PP2014,23,35,1/20/2015,
PP2014,24,36,1/20/2015,
PP2014,25,37,1/20/2015,
PP2014,26,38,1/20/2015,
PP2014,27,39,1/20/2015,
PP2014,28,40,1/20/2015,
PP2014,29,41,1/20/2015,
PP2014,30,42,1/20/2015,
PP2014,31,43,1/20/2015,
PP2014,32,44,1/20/2015,
PP2014,33,45,1/20/2015,
PP2014,34,46,1/20/2015,
PP2014,35,47,1/20/2015,
PP2014,36,48,1/20/2015,
BK,51,1,1/21/2015,
BK,52,2,1/21/2015,
BK,53,3,1/21/2015,
BK,54,4,1/21/2015,
BK,55,5,1/21/2015,
BK,56,6,1/21/2015,
BK,57,7,1/21/2015,
BK,58,8,1/21/2015,
BK,59,9,1/21/2015,
BK,60,10,1/21/2015,
BK,61,11,1/21/2015,
BK,62,12,1/21/2015,
BK,63,13,1/21/2015,
BK,64,14,1/21/2015,
BK,65,15,1/21/2015,
BK,66,16,1/21/2015,
BK,67,17,1/21/2015,
BK,68,18,1/21/2015,
BK,69,19,1/21/2015,
BK,70,20,1/21/2015,
BK,71,21,1/21/2015,
BK,72,22,1/21/2015,
BK,73,23,1/21/2015,
CPSE2014,1,24,1/21/2015,
CPSE2014,2,25,1/21/2015,
CPSE2014,3,26,1/21/2015,
CPSE2014,4,27,1/21/2015,
CPSE2014,5,28,1/21/2015,
CPSE2014,6,29,1/21/2015,
CPSE2014,7,30,1/21/2015,
CPSE2014,8,31,1/21/2015,
CPSE2014,9,32,1/21/2015,
CPSE2014,10,33,1/21/2015,
CPSE2014,11,34,1/21/2015,
CPSE2014,12,35,1/21/2015,
CPSE2014,13,36,1/21/2015,
CPSE2014,14,37,1/21/2015,
CPSE2014,15,38,1/21/2015,
CPSE2014,16,39,1/21/2015,
CPSE2014,17,40,1/21/2015,
CPSE2014,18,41,1/21/2015,
CPSE2014,19,42,1/21/2015,
CPSE2014,20,43,1/21/2015,
CPSE2014,21,44,1/21/2015,
CPSE2014,22,45,1/21/2015,
CPSE2014,23,46,1/21/2015,
CPSE2014,24,47,1/21/2015,
CPSE2014,25,48,1/21/2015,
SF2014,34,49,1/21/2015,
SF2014,35,50,1/21/2015,
SF2014,36,51,1/21/2015,
SF2014,37,52,1/21/2015,
SF2014,38,53,1/21/2015,
SF2014,39,54,1/21/2015,
SF2014,40,55,1/21/2015,
SF2014,41,56,1/21/2015,
SF2014,42,57,1/21/2015,
SF2014,43,58,1/21/2015,
SF2014,44,59,1/21/2015,
SF2014,45,60,1/21/2015,
SF2014,46,61,1/21/2015,
SF2014,47,62,1/21/2015,
SF2014,48,63,1/21/2015,
SF2014,49,64,1/21/2015,
